#{"t_start": 1702104075.460168, "env_id": "None"}
r,l,t
2430.0,160,54.214339
4350.0,120,54.240968
2110.0,56,54.260041
940.0,76,54.282966
1090.0,81,54.303559
4760.0,213,54.337233
2140.0,45,54.353778
1050.0,33,54.369105
1040.0,48,54.386224
1010.0,37,54.403618
1120.0,62,54.421762
3480.0,152,54.451263
1160.0,46,54.46856
1970.0,32,54.485814
3130.0,69,54.507303
3240.0,92,54.530558
2200.0,97,54.555978
2010.0,222,54.593572
2250.0,64,54.613773
2110.0,106,54.637694
2010.0,52,54.65614
3490.0,125,54.94759
1060.0,96,54.971813
1060.0,52,54.989699
2050.0,82,55.01313
2180.0,115,55.041471
1030.0,63,55.062466
2400.0,137,55.092064
2120.0,129,55.121132
1130.0,113,55.147102
1150.0,87,55.16864
2130.0,230,55.204313
4380.0,211,55.238052
2080.0,97,55.26012
980.0,26,55.274633
920.0,80,55.299686
2340.0,101,55.324628
4610.0,168,55.356271
960.0,92,55.378846
1930.0,92,55.402442
1090.0,145,55.687599
1170.0,95,55.711644
2010.0,26,55.726437
1100.0,124,55.753529
2050.0,36,55.769169
2430.0,98,55.792329
2050.0,106,55.815089
2430.0,100,55.838025
2070.0,84,55.859044
2080.0,79,55.878908
1230.0,287,55.921863
2110.0,64,55.943407
2230.0,158,55.972078
1040.0,70,55.990953
2590.0,144,56.018116
2010.0,108,56.041233
1110.0,109,56.064395
2230.0,100,56.086318
960.0,48,56.102992
2230.0,128,56.129164
2080.0,83,56.403034
2010.0,368,56.453747
2250.0,48,56.47123
1050.0,131,56.498951
4690.0,354,56.546343
2290.0,120,56.57041
2270.0,48,56.587189
1180.0,126,56.61193
1110.0,59,56.629765
